Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.336148; 0.663202; 0.663388; 0.663852; 0.662738; 0.663034
2.000000; 0.335868; 0.663447; 0.663816; 0.664132; 0.662957; 0.663354
3.000000; 0.335786; 0.663779; 0.664009; 0.664214; 0.663155; 0.663520
4.000000; 0.335366; 0.664132; 0.664161; 0.664634; 0.663526; 0.663871
5.000000; 0.335243; 0.664214; 0.664484; 0.664757; 0.663529; 0.664132
6.000000; 0.334948; 0.664612; 0.664634; 0.665052; 0.663994; 0.664221
7.000000; 0.334482; 0.664634; 0.664812; 0.665518; 0.664108; 0.664522
8.000000; 0.334482; 0.664883; 0.665315; 0.665518; 0.664191; 0.664723
9.000000; 0.334443; 0.665315; 0.665518; 0.665557; 0.664491; 0.665052
10.000000; 0.334142; 0.665453; 0.665518; 0.665858; 0.664790; 0.665146
11.000000; 0.333995; 0.665618; 0.665718; 0.666005; 0.664777; 0.665441
12.000000; 0.333995; 0.665858; 0.665858; 0.666005; 0.664475; 0.665858
13.000000; 0.333882; 0.665941; 0.666005; 0.666118; 0.665362; 0.665858
14.000000; 0.333882; 0.666005; 0.666005; 0.666118; 0.665254; 0.665858
15.000000; 0.333882; 0.666005; 0.666005; 0.666118; 0.665676; 0.666005
16.000000; 0.333174; 0.666118; 0.666118; 0.666826; 0.664999; 0.666005
17.000000; 0.333036; 0.666118; 0.666118; 0.666964; 0.664841; 0.666118
18.000000; 0.333036; 0.666118; 0.666826; 0.666964; 0.665388; 0.666118
19.000000; 0.333036; 0.666826; 0.666964; 0.666964; 0.665539; 0.666118
20.000000; 0.332507; 0.666964; 0.666964; 0.667493; 0.666191; 0.666826
21.000000; 0.332507; 0.666964; 0.666964; 0.667493; 0.665756; 0.666964
22.000000; 0.331641; 0.666964; 0.667493; 0.668359; 0.665363; 0.666964
23.000000; 0.331641; 0.667493; 0.668359; 0.668359; 0.666232; 0.667493
24.000000; 0.331641; 0.668359; 0.668359; 0.668359; 0.665925; 0.668359
25.000000; 0.331641; 0.668359; 0.668359; 0.668359; 0.666980; 0.668359
26.000000; 0.331641; 0.668359; 0.668359; 0.668359; 0.666419; 0.668359
27.000000; 0.331641; 0.668359; 0.668359; 0.668359; 0.665628; 0.668359
28.000000; 0.330133; 0.668359; 0.668359; 0.669867; 0.666342; 0.668359
29.000000; 0.330133; 0.668359; 0.668359; 0.669867; 0.666135; 0.668359
30.000000; 0.330133; 0.668477; 0.669867; 0.669867; 0.666412; 0.668359
31.000000; 0.330133; 0.669867; 0.669867; 0.669867; 0.666759; 0.669867
32.000000; 0.330133; 0.669867; 0.669867; 0.669867; 0.667213; 0.669867
33.000000; 0.330133; 0.669867; 0.669867; 0.669867; 0.666360; 0.669867
34.000000; 0.330133; 0.669867; 0.669867; 0.669867; 0.666907; 0.669867
35.000000; 0.329614; 0.669867; 0.669867; 0.670386; 0.667649; 0.669867
36.000000; 0.329614; 0.669867; 0.669867; 0.670386; 0.666200; 0.669867
37.000000; 0.329614; 0.669867; 0.670386; 0.670386; 0.667408; 0.669867
38.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.667314; 0.670386
39.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.666378; 0.670386
40.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.667026; 0.670386
41.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.666952; 0.670386
42.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.666398; 0.670386
43.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.667495; 0.670386
44.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.666672; 0.670386
45.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.666520; 0.670386
46.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.667359; 0.670386
47.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.667263; 0.670386
48.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.667282; 0.670386
49.000000; 0.329614; 0.670386; 0.670386; 0.670386; 0.666692; 0.670386
50.000000; 0.328139; 0.670386; 0.670386; 0.671861; 0.666458; 0.670386
51.000000; 0.326132; 0.670386; 0.670386; 0.673868; 0.667772; 0.670386
52.000000; 0.326132; 0.670386; 0.671861; 0.673868; 0.667837; 0.670386
53.000000; 0.326132; 0.671861; 0.673868; 0.673868; 0.668192; 0.671861
54.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.667344; 0.671861
55.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.668680; 0.673868
56.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.668325; 0.673868
57.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.668594; 0.673868
58.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.667113; 0.673868
59.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.000000; 0.673868
60.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.666751; 0.673868
61.000000; 0.326132; 0.673868; 0.673868; 0.673868; 0.668342; 0.673868
